PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
203084,Harrison Barnes,2021-22,77,33.6,16.4,2.4,5.6,0.7,0.2,1.5,0.469,0.394,0.826,-4.9,15.0,2022-23
203084,Harrison Barnes,2022-23,82,32.5,15.0,1.6,4.5,0.7,0.1,1.0,0.473,0.374,0.847,3.1,12.2,2023-24
203085,Austin Rivers,2019-20,68,23.4,8.8,1.7,2.6,0.7,0.1,0.7,0.421,0.356,0.703,1.2,7.9,2020-21
203085,Austin Rivers,2020-21,36,23.5,7.9,2.3,2.3,0.8,0.1,1.0,0.424,0.369,0.71,0.3,6.0,2021-22
203085,Austin Rivers,2021-22,67,22.1,6.0,1.3,1.7,0.8,0.1,0.8,0.417,0.342,0.727,0.8,4.9,2022-23
203087,Jeremy Lamb,2019-20,46,28.1,12.5,2.1,4.3,1.2,0.5,1.1,0.451,0.335,0.836,0.0,10.1,2020-21
203087,Jeremy Lamb,2020-21,36,21.3,10.1,1.5,3.6,0.9,0.6,0.6,0.435,0.406,0.947,-0.4,7.3,2021-22
203090,Maurice Harkless,2019-20,62,23.0,5.8,1.1,3.9,0.9,0.5,0.9,0.502,0.347,0.591,0.3,5.2,2020-21
203090,Maurice Harkless,2020-21,37,20.9,5.2,1.2,2.4,0.8,0.5,0.6,0.418,0.274,0.767,-1.2,4.6,2021-22
203095,Evan Fournier,2019-20,66,31.4,18.5,3.2,2.6,1.1,0.2,1.9,0.467,0.399,0.818,-1.2,17.1,2020-21
203095,Evan Fournier,2020-21,42,30.0,17.1,3.4,3.0,1.1,0.5,1.7,0.457,0.413,0.788,-0.8,14.1,2021-22
203095,Evan Fournier,2021-22,80,29.5,14.1,2.1,2.6,1.0,0.3,1.3,0.417,0.389,0.708,-1.2,6.1,2022-23
203095,Evan Fournier,2022-23,27,17.0,6.1,1.3,1.8,0.6,0.1,0.8,0.337,0.307,0.857,-2.0,6.9,2023-24
